
This product is licensed by WSO2 LLC. under Apache License 2.0. The license
can be downloaded from the following locations:
	http://www.apache.org/licenses/LICENSE-2.0.html
	http://www.apache.org/licenses/LICENSE-2.0.txt

This product also contains software under different licenses. This table below
all the contained libraries (jar files) and the license under which they are 
provided to you.

At the bottom of this file is a table that shows what each license indicated
below is and where the actual text of the license can be found.


Name                                                                                                Type           License             
opentelemetry-all_1.57.0.wso2v2.jar                                                                 bundle         apache2
io.dropwizard.metrics.core_3.2.6.jar                                                                bundle         apache2
org.eclipse.equinox.p2.metadata_2.9.0.v20240213-1100.jar                                            bundle         epl2
org.osgi.service.event_1.4.1.202109301733.jar                                                       bundle         apache2
commons-text_1.15.0.wso2v1.jar                                                                      bundle         apache2
netty-all_4.2.9.wso2v2.jar                                                                          bundle         apache2
handy-uri-templates_2.1.8.wso2v1.jar                                                                bundle         apache2
javax.servlet-api_3.1.0.jar                                                                         bundle         cddl1
org.wso2.carbon.databridge.commons.binary_5.2.66.jar                                                bundle         apache2
org.wso2.micro.integrator.dataservices.common_4.6.0.alpha.jar                                       bundle         apache2
jsr105_1.0.1.wso2v1.jar                                                                             bundle         apache2
org.wso2.micro.integrator.mediation.commons_4.6.0.alpha.jar                                         bundle         apache2
synapse-commons_4.1.0.wso2v18.jar                                                                   bundle         apache2
opensaml-jdk21_3.3.1.wso2v119.jar                                                                   bundle         apache2
esapi-2.7.0.0.jar                                                                                   jarinbundle    cc-by-sa3
org.apache.felix.gogo.runtime_1.1.6.jar                                                             bundle         apache2
arq_1.0.0.wso2v1.jar                                                                                bundle         bsd
